Front,Back,NextReview,Difficulty
Command to analyze SELinux audit log,sealert -a /var/log/audit/audit.log,2025-10-06T19:24:29-04:00,medium
Command to search for SELinux violations,ausearch -m avc,2025-10-06T19:24:29-04:00,medium
Commands to check/set SELinux enforcement,"getenforce, setenforce",2025-10-06T19:24:29-04:00,medium
Command to list available signals,kill -l,2025-10-06T19:24:29-04:00,medium
Command to send signal to process,kill -SIGNAL_NUMBER PID,2025-10-06T19:24:29-04:00,medium
Command to find processes by user,pgrep -l -u USER,2025-10-06T19:24:29-04:00,medium
Command to kill processes by user,pkill -u USER,2025-10-06T19:24:29-04:00,medium
Command to see background jobs,jobs,2025-10-06T19:24:29-04:00,medium
Command to stop background job,kill -SIGSTOP %INDEX,2025-10-06T19:24:29-04:00,medium
Command to see logged in users,w,2025-10-06T19:24:29-04:00,medium
Command to enable tuned service,systemctl enable --now tuned,2025-10-06T19:24:29-04:00,medium
Command to see active tuned profile,tuned-adm active,2025-10-06T19:24:29-04:00,medium
Command to list tuned profiles,tuned-adm list,2025-10-06T19:24:29-04:00,medium
Command to set tuned profile,tuned-adm profile NEW_PROFILE,2025-10-06T19:24:29-04:00,medium
Command to disable tuned,tuned-adm off,2025-10-06T19:24:29-04:00,medium
Location of tuned profile configurations,/usr/lib/tuned/PROFILE/tuned.conf,2025-10-06T19:24:29-04:00,medium
Command to start process with specific priority,nice -n 15 COMMAND,2025-10-06T19:24:29-04:00,medium
Command to change process priority,renice -n 15 PID,2025-10-06T19:24:29-04:00,medium
Command to list user cron jobs,crontab -l,2025-10-06T19:24:29-04:00,medium
Command to edit user cron jobs,crontab -e,2025-10-06T19:24:29-04:00,medium
Cron job format,Minutes Hours Day_of_month Month Day_of_week COMMAND,2025-10-06T19:24:29-04:00,medium
File for system cron jobs,/etc/cron.d/jobname,2025-10-06T19:24:29-04:00,medium
File for anacron jobs,/etc/anacrontab,2025-10-06T19:24:29-04:00,medium
Anacron job format,Period_in_days Delay_in_minutes Job_identifier command,2025-10-06T19:24:29-04:00,medium
Package required for sysstat timer modification,sysstat,2025-10-06T19:24:29-04:00,medium
Location of systemd timer templates,/usr/lib/systemd/system/,2025-10-06T19:24:29-04:00,medium
Command to reload systemd after timer changes,systemctl daemon-reload,2025-10-06T19:24:29-04:00,medium
Location for temporary file cleanup configuration,/etc/tmpfiles.d/,2025-10-06T19:24:29-04:00,medium
Command to create temporary directories/files,systemd-tmpfiles --create /etc/tmpfiles.d/myconf.conf,2025-10-06T19:24:29-04:00,medium
Command to clean temporary files,systemd-tmpfiles --clean /etc/tmpfiles.d/myconf.conf,2025-10-06T19:24:29-04:00,medium
Location of Red Hat product certificates,/etc/pki/product,2025-10-06T19:24:29-04:00,medium
Location of Red Hat account registration certificates,/etc/pki/consumer,2025-10-06T19:24:29-04:00,medium
Location of Red Hat subscription entitlements,/etc/pki/entitlement,2025-10-06T19:24:29-04:00,medium
Commands to create partition and filesystem,parted /dev/vdX; mklabel gpt; mkpart; udevadm settle; mkfs.xfs /dev/vdX,2025-10-06T19:24:29-04:00,medium
Command to refresh device information after partition changes,udevadm settle,2025-10-06T19:24:29-04:00,medium
Commands to create swap partition,parted /dev/vdX; mklabel gpt; mkpart (linux-swap); udevadm settle; mkswap /dev/vdX; swapon /dev/vdX,2025-10-06T19:24:29-04:00,medium
Commands to create LVM filesystem,parted /dev/vdX; set 1 lvm on; pvcreate /dev/vdX; vgcreate vg01 /dev/vdX; lvcreate -n NAME -L SIZE vg01; mkfs.xfs /dev/vg01/lv01,2025-10-06T19:24:29-04:00,medium
Commands to extend volume group,pvcreate /dev/vdY; vgextend vg01 /dev/vdY; lvextend -L +500M /dev/vg01/lv01; xfs_growfs /mnt/data,2025-10-06T19:24:29-04:00,medium
Command to grow XFS filesystem,xfs_growfs /mountpoint,2025-10-06T19:24:29-04:00,medium
Command to resize ext4 filesystem,resize2fs /dev/vg01/lv01,2025-10-06T19:24:29-04:00,medium
Commands to extend swap partition,swapoff /dev/vg01/swap; lvextend -L +500M /dev/vg01/swap; mkswap /dev/vg01/swap; swapon /dev/vg01/swap,2025-10-06T19:24:29-04:00,medium
Commands to reduce volume group,pvmove /dev/vdX; vgreduce vg01 /dev/vdX,2025-10-06T19:24:29-04:00,medium
Commands to remove volume group,umount; lvremove /dev/path; vgremove; pvremove,2025-10-06T19:24:29-04:00,medium
Command to set default boot target at runtime,systemctl set-default graphical.target,2025-10-06T19:24:29-04:00,medium
Boot parameter to set target at boot time,systemd.target=rescue.target,2025-10-06T19:24:29-04:00,medium
Boot parameter to break before root mount,rd.break,2025-10-06T19:24:29-04:00,medium
Commands to reset root password from boot,"mount -o remount,rw /; chroot /sysroot; passwd; touch /.autorelabel",2025-10-06T19:24:29-04:00,medium
File to create custom rsyslog configuration,/etc/rsyslog.d/myconf.conf,2025-10-06T19:24:29-04:00,medium
Rsyslog configuration format,facility.priority /path/to/file,2025-10-06T19:24:29-04:00,medium
Command to send manual log message,"logger -p facility.priority ""Log message""",2025-10-06T19:24:29-04:00,medium
File to configure journal storage,/etc/systemd/journald.conf,2025-10-06T19:24:29-04:00,medium
Journal storage options,"volatile, persistent, auto",2025-10-06T19:24:29-04:00,medium
Directory for persistent journal storage,/var/log/journal,2025-10-06T19:24:29-04:00,medium
Command to view previous boot journal,journalctl -b 1,2025-10-06T19:24:29-04:00,medium
Command to view current timezone,timedatectl,2025-10-06T19:24:29-04:00,medium
Command to select timezone interactively,tzselect,2025-10-06T19:24:29-04:00,medium
Command to set timezone,timedatectl set-timezone ZONE,2025-10-06T19:24:29-04:00,medium
Command to enable/disable NTP,timedatectl set-ntp {true|false},2025-10-06T19:24:29-04:00,medium
File to configure chrony NTP server,/etc/chrony.conf,2025-10-06T19:24:29-04:00,medium
Command to check chrony sources,chronyc sources -v,2025-10-06T19:24:29-04:00,medium
Command to trace network route,tracepath website.com,2025-10-06T19:24:29-04:00,medium
Command to show network socket statistics,ss -ta (tcp) or ss -ua (udp),2025-10-06T19:24:29-04:00,medium
Command to create static IP network connection,nmcli con add con-name NAME ifname INTERFACE type ethernet ipv4.method manual ipv4.addresses IP/24 ipv4.gateway GATEWAY,2025-10-06T19:24:29-04:00,medium
Command to modify network connection,nmcli con mod NAME ipv4.addresses IP ipv4.gateway GATEWAY connection.autoconnect yes,2025-10-06T19:24:29-04:00,medium
Command to reload network connections,nmcli con reload,2025-10-06T19:24:29-04:00,medium
Directory for NetworkManager connection files,/etc/NetworkManager/system-connections/,2025-10-06T19:24:29-04:00,medium
Command to set hostname,hostnamectl hostname NEW_HOSTNAME,2025-10-06T19:24:29-04:00,medium
File for local hostname resolution,/etc/hosts,2025-10-06T19:24:29-04:00,medium
Command to add DNS server to connection,nmcli con mod +ipv4.dns IP,2025-10-06T19:24:29-04:00,medium
Command to ignore auto DNS on interface,nmcli con mod ipv4.ignore-auto-dns yes,2025-10-06T19:24:29-04:00,medium
Directory for NFS exports configuration,/etc/exports,2025-10-06T19:24:29-04:00,medium
Command to mount NFS share,"mount -t nfs -o rw,sync server:/export /mountpoint",2025-10-06T19:24:29-04:00,medium
Package required for autofs,autofs nfs-utils,2025-10-06T19:24:29-04:00,medium
Directory for autofs master configuration,/etc/auto.master.d/,2025-10-06T19:24:29-04:00,medium
Extension required for autofs files,.autofs,2025-10-06T19:24:29-04:00,medium
Autofs indirect mount configuration format,/shares /etc/auto.demo,2025-10-06T19:24:29-04:00,medium
Autofs wildcard mount format,"* -rw,sync server:/export/&",2025-10-06T19:24:29-04:00,medium
Autofs direct mount configuration format,/- /etc/auto.direct,2025-10-06T19:24:29-04:00,medium
Command to get default firewall zone,firewall-cmd --get-default-zone,2025-10-06T19:24:29-04:00,medium
Command to set default firewall zone,firewall-cmd --set-default-zone=ZONE,2025-10-06T19:24:29-04:00,medium
Command to add service to firewall zone,firewall-cmd --zone=ZONE --add-service SERVICE --permanent,2025-10-06T19:24:29-04:00,medium
Command to add port to firewall zone,firewall-cmd --zone=ZONE --add-port PORT --permanent,2025-10-06T19:24:29-04:00,medium
Command to reload firewall configuration,firewall-cmd --reload,2025-10-06T19:24:29-04:00,medium
Command to list SELinux port contexts,semanage port -l | grep SERVICE,2025-10-06T19:24:29-04:00,medium
Command to set SELinux port context,semanage port -a -t PORT_LABEL -p tcp|udp PORTNUMBER,2025-10-06T19:24:29-04:00,medium
Directory for container registry configuration,~/.config/containers/,2025-10-06T19:24:29-04:00,medium
File for container registries configuration,~/.config/containers/registries.conf,2025-10-06T19:24:29-04:00,medium
Command to login to container registry,podman login URL.com,2025-10-06T19:24:29-04:00,medium
Package group for container tools,container-tools,2025-10-06T19:24:29-04:00,medium
Command to search container images,podman search NAME,2025-10-06T19:24:29-04:00,medium
Command to inspect container image,skopeo inspect docker://URL.com/image,2025-10-06T19:24:29-04:00,medium
Command to run container in background,podman run -d --name NAME registry.com/image sleep infinity,2025-10-06T19:24:29-04:00,medium
Command to build container from Containerfile,podman build -t NAME:TAG DIR_TO_CONTAINER_FILE,2025-10-06T19:24:29-04:00,medium
Commands to remove container,podman stop NAME; podman rm NAME; podman rmi registry.com/image,2025-10-06T19:24:29-04:00,medium
Command to check user ID in container,podman exec -it CONTAINER grep USER /etc/passwd,2025-10-06T19:24:29-04:00,medium
Command to change ownership for container volume,podman unshare chown UID:GID /host/directory,2025-10-06T19:24:29-04:00,medium
Command to create container network,podman network create --gateway GATEWAY --subnet SUBNET/24 NETWORK_NAME,2025-10-06T19:24:29-04:00,medium
Command to run container with volume and network,podman run -d --name NAME -e ENV_VAR=VALUE -v /host:/container:Z -p HOST_PORT:CONTAINER_PORT --network NETWORK IMAGE,2025-10-06T19:24:29-04:00,medium
Command to connect container to additional network,podman network connect NETWORK CONTAINER,2025-10-06T19:24:29-04:00,medium
Directory for user systemd service files,~/.config/systemd/user/,2025-10-06T19:24:29-04:00,medium
Command to generate systemd service for container,podman generate systemd --name NAME --new --files,2025-10-06T19:24:29-04:00,medium
Command to enable user systemd service,systemctl --user enable --now SERVICE.service,2025-10-06T19:24:29-04:00,medium
Command to enable user services without login,loginctl enable-linger,2025-10-06T19:24:29-04:00,medium
